cache_key,postal_guess,country,coords,lat,lon,input_city,resolved_city,display_name,query_used,validated,low_confidence,timestamp,status,city_similarity,coords_cluster_count,flag_city_mismatch,flag_clustered_coords,flag_low_confidence,flag_not_validated,flag_failed,suspect_score
43897_es,43897,es,"40.76204,0.5550936",40.76204,0.5550936,TORTOSA,Tortosa,"43897, Tortosa, Baix Ebre, Tarragona, Catalunya, España","structured: {'postalcode': '43897', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:56:33.148837,OK,1.0,1,False,False,False,False,False,0
44195_es,44195,es,"40.3647675,-1.1494794",40.3647675,-1.1494794,TERUEL,Teruel,"44195, Teruel, Comunidad de Teruel, Teruel, Aragón, España","structured: {'postalcode': '44195', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:56:41.152808,OK,1.0,1,False,False,False,False,False,0
44547_es,44547,es,"41.0467876,-0.5836836",41.0467876,-0.5836836,Ariño,Ariño,"44547, Ariño, Andorra-Sierra de Arcos, Teruel, Aragón, España","structured: {'postalcode': '44547', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:56:53.153134,OK,1.0,1,False,False,False,False,False,0
44600_es,44600,es,"41.0514974,-0.1363333",41.0514974,-0.1363333,ALCANIZ,Alcañiz,"44600, Alcañiz, Bajo Aragón, Teruel, Aragón, España","structured: {'postalcode': '44600', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:56:54.159811,OK,1.0,1,False,False,False,False,False,0
44760_es,44760,es,"40.8134058,-0.8501505",40.8134058,-0.8501505,UTRILLAS,Utrillas,"44760, Utrillas, Cuencas Mineras, Teruel, Aragón, España","structured: {'postalcode': '44760', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:05.166210,OK,1.0,1,False,False,False,False,False,0
45003_es,45003,es,"39.8673836,-4.0240478",39.8673836,-4.0240478,TOLEDO,Toledo,"45003, Toledo, Castilla-La Mancha, España","structured: {'postalcode': '45003', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:06.150223,OK,1.0,1,False,False,False,False,False,0
45007_es,45007,es,"39.8686926,-3.9406337",39.8686926,-3.9406337,TOLEDO,Toledo,"45007, Toledo, Castilla-La Mancha, España","structured: {'postalcode': '45007', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:07.212670,OK,1.0,1,False,False,False,False,False,0
45310_es,45310,es,"39.9007004,-3.3241276",39.9007004,-3.3241276,VILLATOBAS,Villatobas,"45310, Villatobas, Toledo, Castilla-La Mancha, España","structured: {'postalcode': '45310', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:08.154793,OK,1.0,1,False,False,False,False,False,0
45600_es,45600,es,"39.9636152,-4.8225355",39.9636152,-4.8225355,TALAVERA DE LA REINA,Talavera de la Reina,"45600, Talavera de la Reina, Toledo, Castilla-La Mancha, España","structured: {'postalcode': '45600', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:15.167471,OK,1.0,1,False,False,False,False,False,0
46001_es,46001,es,"39.4732814,-0.3782617",39.4732814,-0.3782617,VALENCIA,València,"46001, Ciutat Vella, València, Comarca de València, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46001', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:16.169078,OK,1.0,1,False,False,False,False,False,0
46003_es,46003,es,"39.477675,-0.3772169",39.477675,-0.3772169,VALENCIA,València,"46003, Ciutat Vella, València, Comarca de València, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46003', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:17.164811,OK,1.0,1,False,False,False,False,False,0
46010_es,46010,es,"39.4816956,-0.3659889",39.4816956,-0.3659889,VALENCIA,València,"46010, la Saïdia, València, Comarca de València, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46010', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:19.175007,OK,1.0,1,False,False,False,False,False,0
46014_es,46014,es,"39.4635435,-0.4032645",39.4635435,-0.4032645,VALENCIA,València,"46014, València, Comarca de València, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46014', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:20.165201,OK,1.0,1,False,False,False,False,False,0
46020_es,46020,es,"39.4862514,-0.3596832",39.4862514,-0.3596832,VALENCIA,València,"46020, Benimaclet, València, Comarca de València, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46020', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:21.174193,OK,1.0,1,False,False,False,False,False,0
46022_es,46022,es,"39.4754776,-0.3404901",39.4754776,-0.3404901,VALENCIA,València,"46022, Algirós, València, Comarca de València, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46022', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:22.156846,OK,1.0,1,False,False,False,False,False,0
46024_es,46024,es,"39.4532977,-0.3360452",39.4532977,-0.3360452,VALENCIA,València,"46024, Quatre Carreres, València, Comarca de València, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46024', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:23.164627,OK,1.0,1,False,False,False,False,False,0
46026_es,46026,es,"39.4475836,-0.3780023",39.4475836,-0.3780023,VALENCIA,València,"46026, Quatre Carreres, València, Comarca de València, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46026', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:24.148317,OK,1.0,1,False,False,False,False,False,0
46100_es,46100,es,"39.5133851,-0.4123554",39.5133851,-0.4123554,BURJASSOT,Burjassot,"46100, Burjassot, l'Horta Nord, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46100', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:25.163277,OK,1.0,1,False,False,False,False,False,0
46160_es,46160,es,"39.6331348,-0.5937991",39.6331348,-0.5937991,LLIRIA,Llíria,"46160, Llíria, el Camp de Túria, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46160', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:27.153135,OK,1.0,1,False,False,False,False,False,0
46185_es,46185,es,"39.5988035,-0.5366056",39.5988035,-0.5366056,LA POBLA DE VALLBONA,la Pobla de Vallbona,"46185, la Pobla de Vallbona, el Camp de Túria, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46185', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:28.105533,OK,1.0,1,False,False,False,False,False,0
46200_es,46200,es,"39.4272908,-0.416981",39.4272908,-0.416981,PAIPORTA,Paiporta,"46200, Paiporta, l'Horta Sud, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46200', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:29.104672,OK,1.0,1,False,False,False,False,False,0
46240_es,46240,es,"39.228486,-0.5078581",39.228486,-0.5078581,CARLET,Carlet,"46240, Carlet, la Ribera Alta, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46240', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:30.097001,OK,1.0,1,False,False,False,False,False,0
46250_es,46250,es,"39.1960408,-0.5060959",39.1960408,-0.5060959,L'ALCUDIA,l'Alcúdia,"46250, l'Alcúdia, la Ribera Alta, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46250', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:31.105679,OK,1.0,1,False,False,False,False,False,0
46340_es,46340,es,"39.488354,-1.1029915",39.488354,-1.1029915,REQUENA,Requena,"46340, Requena, La Plana de Utiel-Requena, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46340', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:32.102284,OK,1.0,1,False,False,False,False,False,0
46380_es,46380,es,"39.4963064,-0.6815146",39.4963064,-0.6815146,CHESTE,Cheste,"46380, Cheste, La Hoya de Buñol, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46380', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:33.114289,OK,1.0,1,False,False,False,False,False,0
46410_es,46410,es,"39.2192604,-0.2942582",39.2192604,-0.2942582,SUECA,Sueca,"46410, Sueca, la Ribera Baixa, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46410', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:34.158190,OK,1.0,1,False,False,False,False,False,0
46440_es,46440,es,"39.3018788,-0.4171431",39.3018788,-0.4171431,Almussafes,Almussafes,"46440, Almussafes, la Ribera Baixa, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46440', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:35.145946,OK,1.0,1,False,False,False,False,False,0
46450_es,46450,es,"39.2860358,-0.4294294",39.2860358,-0.4294294,BENIFAIÓ,Benifaió,"46450, Benifaió, la Ribera Alta, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46450', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:36.148389,OK,1.0,1,False,False,False,False,False,0
46740_es,46740,es,"39.1203936,-0.445309",39.1203936,-0.445309,CARCAIXENT,Carcaixent,"46740, Carcaixent, la Ribera Alta, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46740', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:38.144674,OK,1.0,1,False,False,False,False,False,0
46900_es,46900,es,"39.4349417,-0.4695639",39.4349417,-0.4695639,TORRENT,Torrent,"46900, Torrent, l'Horta Sud, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46900', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:39.149266,OK,1.0,1,False,False,False,False,False,0
46980_es,46980,es,"39.5266814,-0.4470774",39.5266814,-0.4470774,PATERNA,Paterna,"46980, Paterna, l'Horta Nord, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46980', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:40.166089,OK,1.0,1,False,False,False,False,False,0
46988_es,46988,es,"39.5124066,-0.454266",39.5124066,-0.454266,PATERNA,Paterna,"46988, Paterna, l'Horta Nord, València / Valencia, Comunitat Valenciana, España","structured: {'postalcode': '46988', 'country': 'Spain'} (country=es)",True,False,2026-01-14T18:57:41.142726,OK,1.0,1,False,False,False,False,False,0
